순번,키워드,발표처,제목,웹주소
6,미래창조과학부,중앙일보,"경기도, '개인정보 및 통신비밀 권리 증진 조례' 재의 요구","=HYPERLINK(""http://news.joins.com/article/20341158"")"
6,미래창조과학부,보안뉴스,"[보안·IT산업 동향] 인섹시큐리티, '디지털포렌식 세미나 2016' 개최 外","=HYPERLINK(""http://www.boannews.com/media/view.asp?idx=51297&kind=0"")"
6,미래창조과학부,이데일리,"세종대 물리천문학과 김현수 교수, 중성미자 질량 차이 측정' 연구 기여","=HYPERLINK(""http://www.edaily.co.kr/news/NewsRead.edy?newsid=02141846612717144&SCD=JE51&DCD=A00505"")"
6,미래창조과학부,디지틀보사,"인포테크, 크레소티와 '이지스탬프' MOU","=HYPERLINK(""https://www.bosa.co.kr/umap/sub.asp?news_pk=607128"")"
6,미래창조과학부,동양뉴스통신,통신·유료방송 요금의 표시방식 개선,"=HYPERLINK(""http://www.dynews1.com/news/articleView.html?idxno=259954"")"
6,미래창조과학부,전북교육신문,"군산대 새만금창의융합센터, MAKE APP 교실","=HYPERLINK(""http://jben.kr/liguard_bbs/view.php?code=li_news&number=9382"")"
6,미래창조과학부,기호일보,"도, 도의회 '통신자료 수집 차단' 조례 재의 요구","=HYPERLINK(""http://www.kihoilbo.co.kr/?mod=news&act=articleView&idxno=659376"")"
6,미래창조과학부,주간현대,권오준 포스코 회장 '대한민국 최고과학기술인상',"=HYPERLINK(""http://hyundaenews.com/sub_read.html?uid=22895&section=&section2="")"
6,미래창조과학부,조선일보,김병관·김종훈·김학의·김명수·정성근·송광용…,"=HYPERLINK(""http://news.chosun.com/site/data/html_dir/2016/07/22/2016072200252.html"")"
6,미래창조과학부,약업신문,"바이오인프라, TV조선 2016 경영대상 혁신경영 대상 수상","=HYPERLINK(""https://www.yakup.com/news/index.html?mode=view&nid=197878&cat=all&cat2=&kind=news"")"
6,미래창조과학부,식품저널,'엑스선 식품조사기술 활성화' 심포지엄 개최,"=HYPERLINK(""http://www.foodnews.co.kr/news/articleView.html?idxno=59858"")"
6,미래창조과학부,스포츠투데이,"평창 올림픽 홍보관, 리우 올림픽 기간 동안 운영","=HYPERLINK(""http://stoo.asiae.co.kr/news/view.htm?idxno=2016072116014221715"")"
6,미래창조과학부,헤럴드경제,[2016 대한민국 미래경영대상] '재능판매' 개척…공유경제 첨단 플랫폼 ...,"=HYPERLINK(""http://news.heraldcorp.com/view.php?ud=20160720000786"")"
6,미래창조과학부,대구신문,'원해연' 재추진해야 할 이유,"=HYPERLINK(""http://www.idaegu.co.kr/news.php?mode=view&num=203138"")"
6,미래창조과학부,아시아투데이,"아이센스, 10년간 실적 고공성장…해외진출로 '날개'","=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160721010010357"")"
6,미래창조과학부,위키트리(wikitree),"4개국 바이어, “한국 데이터 기업 만나러 왔어요”","=HYPERLINK(""http://www.wikitree.co.kr/main/news_view.php?id=267942"")"
6,미래창조과학부,전자신문,방송통신 `경쟁과 품격`,"=HYPERLINK(""http://www.etnews.com/20160721000380"")"
6,미래창조과학부,경인방송,"의정부시, 여름방학 스토리텔링교실 운영","=HYPERLINK(""http://www.ifm.kr/post/41595"")"
6,미래창조과학부,디지털데일리,[취재수첩] SaaS 시대의 국내 SW기업들,"=HYPERLINK(""http://www.ddaily.co.kr/news/article.html?no=145578"")"
6,미래창조과학부,미디어펜,[오늘의 인사] 7월 21일 신용보증기금 미래창조과학부 주택도시보증 ...,"=HYPERLINK(""http://www.mediapen.com/news/view/170154"")"
6,미래창조과학부,미디어오늘,사드 전자파 유해 논란 해소 안 되는 이유는,"=HYPERLINK(""http://www.mediatoday.co.kr/?mod=news&act=articleView&idxno=131200"")"
6,미래창조과학부,아시아경제,"KT, '케이블 상생案' 7개월째 깜깜","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?sec=it5&idxno=2016072111384752718"")"
6,미래창조과학부,연합뉴스,과학고 학생들 인명구조 드론 개발·로켓개발 벤처 창업,"=HYPERLINK(""http://www.yonhapnews.co.kr/society/2016/07/21/0706000000AKR20160721148800063.HTML"")"
6,미래창조과학부,한국경제TV,[우리 동네 도서관에선] 국립어린이청소년도서관 등,"=HYPERLINK(""http://www.wowtv.co.kr/newscenter/news/view.asp?bcode=T32001000&wowcode=W014&artid=X20160721171740%20%20%20%20%20&compcode=HK"")"
6,미래창조과학부,머니투데이,"아이티센, 자회사 굿센과 클라우드 SaaS 분야 진출","=HYPERLINK(""http://news.mt.co.kr/mtview.php?no=2016072117215949453"")"
6,미래창조과학부,매일경제,[사설] 벤처 3만개 시대 창업생태계 선순환 끌어내길,"=HYPERLINK(""http://news.mk.co.kr/newsRead.php?no=524640&year=2016"")"
6,미래창조과학부,매일경제,"당정청 혼돈·野공세에…朴, 직접 원고 써가며 `초강수`","=HYPERLINK(""http://news.mk.co.kr/newsRead.php?no=523914&year=2016"")"
6,미래창조과학부,중도일보,대덕특구 내 기관장 선임 하반기에만 6건,"=HYPERLINK(""http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607212246"")"
6,미래창조과학부,한국경제TV,김종덕 문화장관이 본 '포켓몬 고' 성공 핵심은…,"=HYPERLINK(""http://www.wowtv.co.kr/funfun/life/view.asp?artid=X20160721172411"")"
6,미래창조과학부,NSP통신,"[동정]송기석의원, 국민의당 제6정책조정위원장으로 선임","=HYPERLINK(""http://www.nspna.com/news/?mode=view&newsid=180576"")"
6,미래창조과학부,국제신문,"SKT ""5G 기술 활용 아이디어 모읍니다""","=HYPERLINK(""http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0800&key=20160722.22016191817"")"
6,미래창조과학부,뉴스경남,'2016 창원 전국지능 로봇경진대회'개최,"=HYPERLINK(""http://www.newsgn.com/sub_read.html?uid=132278&section=sc2&section2="")"
6,미래창조과학부,뉴스와이어 (보도자료),"조달청, 시설공사 설계심의분과위원 공정한 심사 결의","=HYPERLINK(""http://www.newswire.co.kr/newsRead.php?no=831645"")"
6,미래창조과학부,시사매거진,출처 : KBS 1TV <도전! K-스타트업 2016>,"=HYPERLINK(""http://www.sisamagazine.co.kr/news/articleView.html?idxno=46135"")"
6,미래창조과학부,뉴스프라이데이,2016년 제3회 특수지계약집배원 채용 공고,"=HYPERLINK(""https://newsfriday.com/1549614/2016%EB%85%84-%EC%A0%9C3%ED%9A%8C-%ED%8A%B9%EC%88%98%EC%A7%80%EA%B3%84%EC%95%BD%EC%A7%91%EB%B0%B0%EC%9B%90-%EC%B1%84%EC%9A%A9-%EA%B3%B5%EA%B3%A0/"")"
6,미래창조과학부,뉴스프라이데이,이선희 재활병원 기부금 전달식,"=HYPERLINK(""https://newsfriday.com/1549736/%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A5%E1%86%AB%E1%84%92%E1%85%B4-%EC%9E%AC%ED%99%9C%EB%B3%91%EC%9B%90-%EA%B8%B0%EB%B6%80%EA%B8%88-%EC%A0%84%EB%8B%AC%EC%8B%9D/"")"
